age,job,education,default,housing,loan,duration,campaign
48,blue-collar,basic.9y,no,no,no,348,2
23,technician,professional.course,no,yes,no,194,2
33,blue-collar,basic.6y,no,no,no,1183,1
30,admin.,university.degree,no,no,no,160,1
25,blue-collar,high.school,unknown,no,yes,338,3
44,technician,professional.course,unknown,no,no,374,6
29,technician,university.degree,no,no,yes,357,7
55,retired,high.school,no,yes,no,106,4
24,blue-collar,basic.9y,unknown,no,no,270,1
61,admin.,university.degree,no,yes,no,183,5
50,technician,basic.6y,unknown,no,no,36,3
37,self-employed,university.degree,no,yes,no,270,2
33,housemaid,professional.course,no,yes,no,110,1
48,unemployed,university.degree,no,yes,no,195,2
57,retired,basic.9y,unknown,yes,no,27,6
33,management,university.degree,no,yes,no,63,1
40,housemaid,high.school,no,no,no,1449,6
30,self-employed,university.degree,no,no,no,58,1
34,self-employed,university.degree,no,no,no,201,1
54,management,university.degree,no,yes,no,106,3
31,admin.,university.degree,no,no,no,170,1
31,technician,professional.course,no,yes,no,935,1
53,unemployed,basic.9y,unknown,yes,no,67,4
43,admin.,university.degree,no,yes,no,670,4
36,blue-collar,basic.9y,no,yes,no,620,1
47,admin.,university.degree,no,yes,no,507,4
30,technician,university.degree,no,yes,yes,204,4
31,self-employed,university.degree,no,yes,yes,60,1
37,services,basic.9y,no,no,no,348,1
27,blue-collar,basic.6y,no,no,no,1508,1
46,admin.,high.school,no,no,no,354,2
41,technician,basic.9y,no,yes,no,66,1
44,blue-collar,basic.9y,no,no,no,109,4
33,admin.,university.degree,no,yes,no,171,2
58,blue-collar,basic.4y,no,no,no,186,1
34,self-employed,university.degree,no,yes,no,213,5
60,admin.,high.school,no,no,yes,474,2
29,blue-collar,basic.4y,no,no,yes,441,1
26,admin.,high.school,no,no,no,463,1
31,services,high.school,no,yes,no,17,2
36,services,university.degree,no,yes,no,86,3
59,blue-collar,basic.4y,unknown,no,no,202,2
61,retired,university.degree,no,yes,no,216,1
30,technician,high.school,no,no,no,142,1
40,retired,professional.course,no,no,no,140,1
48,technician,high.school,no,no,no,700,1
47,services,high.school,no,no,no,293,1
32,technician,university.degree,no,yes,no,402,1
31,admin.,professional.course,unknown,yes,no,126,1
33,blue-collar,basic.9y,no,yes,no,112,4
30,services,high.school,no,no,no,263,2
49,management,university.degree,no,yes,no,44,1
53,self-employed,university.degree,no,yes,no,61,4
33,admin.,high.school,no,yes,no,176,1
46,services,high.school,unknown,yes,no,6,1
45,admin.,high.school,no,yes,no,695,1
31,technician,professional.course,unknown,yes,no,188,7
28,blue-collar,basic.9y,unknown,no,no,77,3
29,admin.,university.degree,no,yes,yes,736,1
26,blue-collar,basic.9y,no,yes,no,56,3
20,student,unknown,no,yes,no,184,4
42,services,high.school,no,yes,yes,77,2
31,blue-collar,basic.9y,no,yes,no,415,1
56,entrepreneur,university.degree,unknown,no,yes,41,1
43,housemaid,professional.course,no,no,yes,306,5
44,management,high.school,unknown,no,yes,292,1
30,admin.,high.school,no,yes,no,362,2
31,admin.,university.degree,no,no,no,123,3
53,entrepreneur,university.degree,no,yes,no,107,1
50,retired,basic.4y,unknown,yes,no,855,4
37,unemployed,university.degree,no,unknown,unknown,34,1
43,blue-collar,unknown,unknown,no,no,512,6
45,admin.,basic.9y,unknown,no,no,973,2
29,admin.,university.degree,no,yes,no,238,3
53,services,high.school,no,no,no,429,1
34,technician,university.degree,no,no,no,82,6
72,retired,high.school,no,no,no,257,1
25,admin.,university.degree,no,yes,no,229,2
46,admin.,high.school,no,no,no,47,4
39,admin.,high.school,no,no,no,9,6
57,management,university.degree,no,yes,yes,283,1
24,admin.,professional.course,no,yes,yes,233,1
40,blue-collar,basic.6y,no,yes,no,5,1
45,services,high.school,unknown,yes,no,349,2
33,entrepreneur,university.degree,no,yes,no,130,3
34,blue-collar,basic.9y,no,no,no,157,29
24,admin.,high.school,no,no,no,452,1
55,entrepreneur,basic.9y,no,no,no,415,7
54,blue-collar,basic.6y,unknown,yes,no,34,1
32,technician,university.degree,no,no,no,182,1
27,student,high.school,no,no,no,219,1
45,management,university.degree,no,yes,yes,265,3
47,services,basic.9y,unknown,no,no,678,1
29,services,high.school,no,no,no,189,2
42,admin.,university.degree,unknown,yes,yes,115,1
28,student,high.school,no,no,no,319,3
27,self-employed,university.degree,no,no,no,367,2
45,admin.,university.degree,no,yes,no,197,2
45,entrepreneur,basic.4y,no,yes,no,167,5
33,management,university.degree,no,no,no,125,2
36,technician,professional.course,no,no,no,71,2
34,technician,high.school,no,yes,no,106,2
30,technician,university.degree,no,no,no,360,1
33,blue-collar,basic.4y,no,yes,no,273,2
56,blue-collar,basic.4y,unknown,no,no,36,4
58,blue-collar,basic.4y,unknown,no,no,326,1
52,admin.,high.school,no,no,no,157,2
52,housemaid,basic.4y,no,no,no,479,2
36,admin.,university.degree,unknown,yes,yes,103,1
36,admin.,university.degree,no,yes,yes,118,1
53,blue-collar,basic.4y,unknown,yes,no,144,1
52,housemaid,basic.4y,unknown,yes,no,197,2
47,technician,professional.course,no,yes,no,69,1
37,self-employed,university.degree,no,yes,no,596,1
25,blue-collar,basic.9y,unknown,yes,no,113,1
32,blue-collar,basic.6y,no,no,no,59,1
34,admin.,university.degree,no,no,no,101,4
39,admin.,high.school,no,yes,no,337,2
52,technician,professional.course,no,yes,yes,285,2
48,admin.,university.degree,no,yes,no,1082,1
48,entrepreneur,basic.9y,no,yes,no,44,7
50,blue-collar,basic.9y,unknown,no,no,165,1
55,management,basic.4y,no,yes,no,89,4
38,blue-collar,basic.9y,no,yes,no,154,1
46,admin.,high.school,no,yes,no,91,11
31,services,high.school,no,yes,no,206,1
27,technician,professional.course,no,no,no,102,9
50,blue-collar,basic.4y,no,no,no,166,2
52,services,unknown,unknown,yes,yes,306,1
44,admin.,university.degree,unknown,yes,yes,398,7
35,technician,professional.course,no,yes,no,577,6
47,management,basic.6y,unknown,yes,yes,353,1
32,admin.,university.degree,no,no,no,152,6
34,services,basic.9y,no,yes,yes,437,2
40,admin.,high.school,no,no,yes,172,1
56,services,basic.4y,unknown,yes,yes,166,1
48,admin.,university.degree,no,yes,no,321,3
42,admin.,basic.9y,unknown,yes,no,163,2
48,admin.,high.school,no,yes,no,309,1
39,entrepreneur,high.school,no,yes,no,244,1
46,blue-collar,basic.9y,no,yes,no,132,1
41,technician,basic.9y,no,yes,no,420,1
56,management,university.degree,no,no,no,252,4
25,admin.,university.degree,no,no,no,243,3
24,blue-collar,high.school,no,no,no,482,2
24,services,high.school,no,yes,no,920,2
39,technician,high.school,no,no,no,177,3
42,management,basic.6y,no,yes,yes,81,6
35,technician,university.degree,no,no,yes,174,1
57,retired,high.school,no,no,no,53,1
29,services,unknown,no,yes,yes,268,2
35,admin.,university.degree,no,yes,no,176,4
37,blue-collar,basic.6y,no,yes,no,724,2
42,technician,high.school,no,yes,no,457,1
36,services,high.school,unknown,no,no,89,1
41,blue-collar,basic.6y,unknown,no,no,92,1
47,blue-collar,basic.9y,no,yes,no,110,3
47,blue-collar,basic.4y,no,yes,no,729,4
44,blue-collar,basic.9y,unknown,yes,no,144,2
29,services,high.school,no,yes,no,87,6
58,management,university.degree,no,yes,yes,256,1
36,blue-collar,basic.4y,no,yes,no,279,1
30,admin.,university.degree,unknown,yes,no,256,2
46,admin.,university.degree,no,unknown,unknown,74,1
30,management,university.degree,no,unknown,unknown,173,2
30,admin.,high.school,no,no,no,13,10
40,admin.,university.degree,no,yes,no,380,1
27,blue-collar,basic.6y,no,yes,yes,444,3
50,management,university.degree,no,no,no,192,1
45,blue-collar,basic.6y,unknown,no,no,636,2
52,housemaid,basic.4y,unknown,no,no,149,3
35,blue-collar,high.school,no,yes,yes,83,1
41,blue-collar,basic.9y,unknown,no,yes,251,1
41,admin.,university.degree,unknown,yes,no,15,9
45,admin.,university.degree,no,no,no,194,1
30,services,high.school,unknown,yes,no,70,3
62,retired,university.degree,no,yes,no,129,3
34,blue-collar,high.school,no,no,no,118,2
27,blue-collar,basic.6y,no,no,no,350,1
33,blue-collar,basic.9y,no,yes,no,21,14
30,blue-collar,basic.9y,no,yes,no,225,2
75,retired,basic.9y,no,no,no,233,1
31,entrepreneur,high.school,no,yes,yes,112,2
34,admin.,university.degree,no,no,no,232,4
29,unemployed,high.school,no,no,no,181,2
46,unemployed,basic.9y,no,unknown,unknown,96,1
31,blue-collar,basic.9y,no,yes,no,122,1
27,technician,university.degree,no,yes,no,258,3
32,admin.,professional.course,no,no,no,131,1
45,admin.,university.degree,no,no,no,582,1
31,admin.,high.school,no,yes,no,59,1
25,technician,professional.course,no,no,no,22,1
33,blue-collar,basic.4y,no,yes,no,108,2
30,services,high.school,no,yes,no,70,6
29,unemployed,basic.4y,no,yes,no,112,1
26,technician,high.school,no,yes,no,252,1
32,admin.,high.school,no,yes,no,212,6
29,technician,high.school,no,yes,no,87,3
56,retired,basic.4y,no,no,no,394,3
52,management,university.degree,no,no,yes,116,3
34,blue-collar,basic.6y,unknown,no,no,61,1
45,blue-collar,basic.9y,no,no,no,135,1
57,technician,high.school,no,yes,no,758,1
30,admin.,university.degree,no,yes,no,123,1
28,services,high.school,no,yes,no,225,2
26,technician,professional.course,no,yes,no,181,2
33,management,university.degree,no,no,no,133,1
24,services,professional.course,no,yes,no,349,1
33,services,high.school,unknown,no,no,227,3
33,management,university.degree,no,no,yes,206,1
59,admin.,basic.4y,unknown,yes,no,137,1
60,admin.,high.school,no,no,no,118,1
25,student,high.school,no,yes,no,959,3
43,unemployed,university.degree,no,no,no,404,4
58,management,basic.4y,unknown,no,no,301,2
47,technician,professional.course,no,no,no,364,1
39,technician,professional.course,no,no,no,15,1
59,retired,basic.6y,unknown,no,no,235,5
33,admin.,high.school,no,no,no,283,1
29,technician,high.school,no,no,no,157,2
47,blue-collar,basic.4y,no,yes,no,352,1
24,admin.,professional.course,no,yes,no,102,6
37,technician,professional.course,no,no,no,181,2
36,admin.,high.school,no,yes,no,416,2
26,admin.,basic.9y,no,no,no,878,2
59,entrepreneur,high.school,no,no,no,145,1
21,student,high.school,no,yes,no,551,1
32,entrepreneur,high.school,no,yes,no,240,1
37,admin.,high.school,no,no,yes,463,1
47,technician,professional.course,no,no,no,223,1
31,blue-collar,basic.4y,no,yes,no,143,1
38,management,basic.9y,no,yes,no,390,3
38,unemployed,high.school,no,yes,no,597,3
29,admin.,university.degree,no,no,no,87,2
47,technician,professional.course,no,unknown,unknown,89,1
26,admin.,high.school,no,no,no,160,1
41,admin.,high.school,no,no,no,620,1
35,technician,university.degree,no,yes,yes,205,1
42,entrepreneur,basic.6y,no,no,no,179,2
36,technician,professional.course,no,no,no,209,1
39,housemaid,basic.4y,no,no,no,102,1
49,technician,university.degree,no,no,no,188,1
38,blue-collar,basic.6y,unknown,unknown,unknown,204,1
37,blue-collar,basic.9y,unknown,yes,no,435,2
36,management,university.degree,no,yes,yes,94,1
